epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.281,1.06054,4.32565,1.42728,0.02829,0.38225,0.0678,0.06184,0.4922,4.45162,0.99113,0.000109238,0.000109238,0.000109238
2,647.805,0.98253,3.88307,1.32232,0.50124,0.2901,0.25821,0.21537,0.62505,4.01441,1.0881,0.000209336,0.000209336,0.000209336
3,955.017,0.99198,3.5119,1.36681,0.35371,0.46276,0.40374,0.32353,0.81074,3.63069,1.16098,0.000298446,0.000298446,0.000298446
4,1254.77,1.0339,3.10792,1.3704,0.48172,0.49512,0.48819,0.42653,0.6214,3.23008,1.11112,0.00028355,0.00028355,0.00028355
5,1559.2,0.99007,2.78482,1.34022,0.60082,0.54325,0.58843,0.51818,0.56911,2.76589,1.04692,0.000267066,0.000267066,0.000267066
6,1852.48,0.93364,2.57512,1.28683,0.53771,0.6427,0.66167,0.58897,0.54475,2.60571,1.02608,0.000250583,0.000250583,0.000250583
7,2136.56,0.85472,2.33895,1.22193,0.53623,0.67159,0.69937,0.61931,0.52836,2.41719,1.01363,0.000234099,0.000234099,0.000234099
8,2419.88,0.85595,2.22602,1.23132,0.58305,0.67142,0.76159,0.68399,0.49793,2.18383,1.00945,0.000217616,0.000217616,0.000217616
9,2706.85,0.80574,2.04493,1.18157,0.73872,0.71818,0.81401,0.72885,0.53248,1.94426,0.9849,0.000201132,0.000201132,0.000201132
10,2988.44,0.78321,1.94379,1.18439,0.69521,0.76633,0.83037,0.75975,0.47645,1.89782,0.96744,0.000184649,0.000184649,0.000184649
11,3277.76,0.56883,1.91388,1.06795,0.75751,0.73516,0.82698,0.7669,0.43409,1.83246,0.94372,0.000168165,0.000168165,0.000168165
12,3574.11,0.50457,1.68236,1.01537,0.90326,0.75676,0.88513,0.82904,0.42026,1.53321,0.93494,0.000151682,0.000151682,0.000151682
13,3861.42,0.4864,1.5217,1.00032,0.79323,0.84928,0.90232,0.83754,0.42208,1.43594,0.931,0.000135198,0.000135198,0.000135198
14,4150.79,0.45215,1.41492,0.96292,0.85722,0.84343,0.91567,0.84697,0.43704,1.39165,0.9248,0.000118714,0.000118714,0.000118714
15,4445.41,0.43988,1.34377,0.95455,0.82736,0.89438,0.93028,0.86338,0.4028,1.28235,0.90588,0.000102231,0.000102231,0.000102231
16,4734.43,0.42631,1.24809,0.95851,0.91357,0.8554,0.94229,0.88798,0.39141,1.22518,0.90733,8.57475e-05,8.57475e-05,8.57475e-05
17,5023.87,0.40936,1.19609,0.94516,0.88439,0.89669,0.93956,0.88651,0.38794,1.16426,0.90582,6.9264e-05,6.9264e-05,6.9264e-05
18,5318.61,0.39803,1.15982,0.92733,0.89955,0.8459,0.9175,0.86941,0.37586,1.24586,0.88658,5.27805e-05,5.27805e-05,5.27805e-05
19,5610.29,0.38452,1.11971,0.92843,0.88602,0.88504,0.93084,0.88414,0.37669,1.1758,0.88661,3.6297e-05,3.6297e-05,3.6297e-05
20,5900.07,0.36436,1.08646,0.90398,0.89833,0.88151,0.94205,0.90138,0.36545,1.13245,0.88485,1.98135e-05,1.98135e-05,1.98135e-05
